1.0,1.0,-1.06
1.0,2.0,0.19
1.0,3.0,-0.23
1.0,4.0,0.16
1.0,5.0,-0.08
1.0,6.0,0.06
1.0,7.0,0.08
1.0,8.0,0.04
1.0,9.0,0.0
1.0,10.0,-0.08
1.0,11.0,0.19
1.0,12.0,-0.02
1.0,13.0,0.05
1.0,14.0,0.13
1.0,15.0,0.69
1.0,16.0,0.03
1.0,17.0,-0.19
1.0,18.0,0.24
1.0,19.0,0.71
1.0,20.0,0.0
2.0,1.0,0.19
2.0,2.0,0.04
2.0,3.0,-0.42
2.0,4.0,-0.28
2.0,5.0,-0.2
2.0,6.0,-0.14
2.0,7.0,-0.67
2.0,8.0,-0.13
2.0,9.0,0.25
2.0,10.0,0.19
2.0,11.0,0.19
2.0,12.0,0.14
2.0,13.0,0.46
2.0,14.0,0.08
2.0,15.0,0.44
2.0,16.0,0.65
2.0,17.0,0.99
2.0,18.0,0.31
2.0,19.0,0.0
2.0,20.0,-0.34
3.0,1.0,-0.23
3.0,2.0,-0.42
3.0,3.0,-0.44
3.0,4.0,-0.19
3.0,5.0,-0.3
3.0,6.0,-0.22
3.0,7.0,-0.16
3.0,8.0,0.0
3.0,9.0,0.03
3.0,10.0,0.38
3.0,11.0,0.31
3.0,12.0,0.29
3.0,13.0,0.49
3.0,14.0,0.18
3.0,15.0,0.27
3.0,16.0,0.39
3.0,17.0,-0.16
3.0,18.0,0.41
3.0,19.0,0.44
3.0,20.0,0.2
4.0,1.0,0.16
4.0,2.0,-0.28
4.0,3.0,-0.19
4.0,4.0,-0.22
4.0,5.0,-0.41
4.0,6.0,-0.25
4.0,7.0,0.02
4.0,8.0,0.11
4.0,9.0,-0.22
4.0,10.0,0.25
4.0,11.0,0.14
4.0,12.0,0.21
4.0,13.0,0.36
4.0,14.0,0.53
4.0,15.0,0.35
4.0,16.0,0.59
4.0,17.0,0.49
4.0,18.0,0.42
4.0,19.0,0.36
4.0,20.0,0.25
5.0,1.0,-0.08
